GEO.id,GEO.id2,GEO.display-label,HD01_VD01
Id,Id2,Geography,Estimate; Aggregate travel time to work (in minutes):
8600000US11740,11740,ZCTA5 11740,124960
8600000US11741,11741,ZCTA5 11741,469325
8600000US11742,11742,ZCTA5 11742,223265
8600000US11743,11743,ZCTA5 11743,690745
8600000US11746,11746,ZCTA5 11746,982815
8600000US11747,11747,ZCTA5 11747,276545
8600000US11751,11751,ZCTA5 11751,240965
8600000US11752,11752,ZCTA5 11752,137195
8600000US11753,11753,ZCTA5 11753,214490
8600000US11754,11754,ZCTA5 11754,293915
8600000US11755,11755,ZCTA5 11755,218280
8600000US11756,11756,ZCTA5 11756,701730
8600000US11757,11757,ZCTA5 11757,731480
8600000US11758,11758,ZCTA5 11758,950755
8600000US11762,11762,ZCTA5 11762,389715
8600000US11763,11763,ZCTA5 11763,444785
8600000US11766,11766,ZCTA5 11766,179950
8600000US11768,11768,ZCTA5 11768,362405
8600000US11769,11769,ZCTA5 11769,136365
8600000US11770,11770,ZCTA5 11770,840
8600000US11771,11771,ZCTA5 11771,142895
8600000US11772,11772,ZCTA5 11772,622935
8600000US11776,11776,ZCTA5 11776,450670
8600000US11777,11777,ZCTA5 11777,116225
8600000US11778,11778,ZCTA5 11778,221925
8600000US11779,11779,ZCTA5 11779,572530
8600000US11782,11782,ZCTA5 11782,259055
8600000US11783,11783,ZCTA5 11783,355695
8600000US11784,11784,ZCTA5 11784,427450
8600000US11786,11786,ZCTA5 11786,109740
8600000US11787,11787,ZCTA5 11787,548320
8600000US11788,11788,ZCTA5 11788,245300
8600000US11789,11789,ZCTA5 11789,153900
8600000US11790,11790,ZCTA5 11790,200210
8600000US11791,11791,ZCTA5 11791,412585
8600000US11793,11793,ZCTA5 11793,531785
8600000US11795,11795,ZCTA5 11795,381080
8600000US11797,11797,ZCTA5 11797,145525
8600000US11798,11798,ZCTA5 11798,190770
8600000US11801,11801,ZCTA5 11801,678090
8600000US11803,11803,ZCTA5 11803,497360
8600000US11804,11804,ZCTA5 11804,70025
8600000US11901,11901,ZCTA5 11901,269875
8600000US11935,11935,ZCTA5 11935,42440
8600000US11937,11937,ZCTA5 11937,166945
8600000US11939,11939,ZCTA5 11939,12395
8600000US11940,11940,ZCTA5 11940,81260
8600000US11941,11941,ZCTA5 11941,30600
8600000US11942,11942,ZCTA5 11942,60590
8600000US11944,11944,ZCTA5 11944,35055
8600000US11946,11946,ZCTA5 11946,213540
8600000US11947,11947,ZCTA5 11947,1580
8600000US11948,11948,ZCTA5 11948,15765
8600000US11950,11950,ZCTA5 11950,224505
8600000US11951,11951,ZCTA5 11951,241120
8600000US11952,11952,ZCTA5 11952,60985
8600000US11953,11953,ZCTA5 11953,201540
8600000US11954,11954,ZCTA5 11954,33775
8600000US11956,11956,ZCTA5 11956,2725
8600000US11961,11961,ZCTA5 11961,146875
8600000US11963,11963,ZCTA5 11963,69700
8600000US11965,11965,ZCTA5 11965,7225
8600000US11968,11968,ZCTA5 11968,102440
8600000US11973,11973,ZCTA5 11973,200
8600000US11976,11976,ZCTA5 11976,30690
8600000US11977,11977,ZCTA5 11977,19745
8600000US11978,11978,ZCTA5 11978,40050
8600000US12007,12007,ZCTA5 12007,-
8600000US12008,12008,ZCTA5 12008,4440
8600000US12009,12009,ZCTA5 12009,91320
8600000US12010,12010,ZCTA5 12010,297280
8600000US12017,12017,ZCTA5 12017,4570
8600000US12018,12018,ZCTA5 12018,110930
8600000US12019,12019,ZCTA5 12019,170720
8600000US12020,12020,ZCTA5 12020,423410
8600000US12022,12022,ZCTA5 12022,14440
8600000US12024,12024,ZCTA5 12024,-
8600000US12025,12025,ZCTA5 12025,75485
8600000US12027,12027,ZCTA5 12027,51455
8600000US12028,12028,ZCTA5 12028,17100
8600000US12029,12029,ZCTA5 12029,11120
8600000US12031,12031,ZCTA5 12031,2195
8600000US12033,12033,ZCTA5 12033,81345
8600000US12035,12035,ZCTA5 12035,8275
8600000US12036,12036,ZCTA5 12036,3450
8600000US12037,12037,ZCTA5 12037,47935
8600000US12041,12041,ZCTA5 12041,5690
8600000US12042,12042,ZCTA5 12042,3120
