GEO.id,GEO.id2,GEO.display-label,HD01_VD09,HD01_VD16,HD01_VD23,HD01_VD30,HD01_VD44
Id,Id2,Geography,"Estimate; Total: - Car, truck, or van - drove alone:","Estimate; Total: - Car, truck, or van - carpooled:",Estimate; Total: - Public transportation (excluding taxicab):,Estimate; Total: - Walked:,Estimate; Total: - Worked at home:
8600000US13648,13648,ZCTA5 13648,694,132,2,10,5
8600000US13650,13650,ZCTA5 13650,559,53,0,40,40
8600000US13651,13651,ZCTA5 13651,48,0,0,9,0
8600000US13652,13652,ZCTA5 13652,624,77,0,5,32
8600000US13654,13654,ZCTA5 13654,800,73,0,25,155
8600000US13655,13655,ZCTA5 13655,706,165,0,0,0
8600000US13656,13656,ZCTA5 13656,1049,64,0,12,64
8600000US13658,13658,ZCTA5 13658,784,107,0,9,13
8600000US13659,13659,ZCTA5 13659,148,13,0,6,3
8600000US13660,13660,ZCTA5 13660,591,50,0,26,38
8600000US13661,13661,ZCTA5 13661,491,38,0,27,42
8600000US13662,13662,ZCTA5 13662,5571,768,33,181,240
8600000US13664,13664,ZCTA5 13664,153,8,5,1,5
8600000US13665,13665,ZCTA5 13665,264,196,0,0,14
8600000US13666,13666,ZCTA5 13666,70,15,0,0,2
8600000US13667,13667,ZCTA5 13667,942,170,16,11,0
8600000US13668,13668,ZCTA5 13668,1531,55,0,29,17
8600000US13669,13669,ZCTA5 13669,4933,647,2,192,167
8600000US13670,13670,ZCTA5 13670,118,0,0,0,12
8600000US13672,13672,ZCTA5 13672,350,26,0,0,23
8600000US13673,13673,ZCTA5 13673,796,111,3,25,59
8600000US13674,13674,ZCTA5 13674,24,7,0,0,0
8600000US13675,13675,ZCTA5 13675,86,44,0,0,0
8600000US13676,13676,ZCTA5 13676,4140,601,55,1195,356
8600000US13677,13677,ZCTA5 13677,15,19,0,0,0
8600000US13678,13678,ZCTA5 13678,80,0,0,0,0
8600000US13679,13679,ZCTA5 13679,721,150,10,2,71
8600000US13680,13680,ZCTA5 13680,432,87,2,12,72
8600000US13681,13681,ZCTA5 13681,255,20,0,10,3
8600000US13682,13682,ZCTA5 13682,372,28,0,0,8
8600000US13684,13684,ZCTA5 13684,383,33,0,3,15
8600000US13685,13685,ZCTA5 13685,916,63,5,24,32
8600000US13687,13687,ZCTA5 13687,114,15,0,3,6
8600000US13690,13690,ZCTA5 13690,190,25,0,3,24
8600000US13691,13691,ZCTA5 13691,1105,97,7,9,24
8600000US13692,13692,ZCTA5 13692,19,0,0,9,0
8600000US13693,13693,ZCTA5 13693,162,4,0,0,33
8600000US13694,13694,ZCTA5 13694,480,71,0,3,7
8600000US13695,13695,ZCTA5 13695,28,7,0,4,29
8600000US13696,13696,ZCTA5 13696,17,0,0,0,12
